Código	Denominación	[A]	[B]	[B] VS [A]	
		ene-2025 Proyectado	ene-2025 Histórico	ene-2025 Histórico	
				VS	
				ene-2025 Proyectado	
		Monto	Monto	Monto	%
147605	CATEGORÍA A RIESGO NORMAL	52.858.590.194	53.281.642.269	423.052.075	0,80%
147610	CATEGORÍA B RIESGO ACEPTABLE	104.978.103	251.057.184	146.079.081	139,15%
147615	CATEGORÍA C RIESGO APRECIABLE	7.634.189	106.576.117	98.941.928	1296,04%
147620	CATEGORÍA D RIESGO SIGNIFICATIVO	6.330.564	141.279.257	134.948.693	2131,70%
147625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	2.912.168	1.384.206.914	1.381.294.746	47431,83%
1477	INTERESES CRÉDITOS PRODUCTIVOS	2.725.575.522	2.270.943.042	-454.632.480	-16,68%
147705	CATEGORÍA A RIESGO NORMAL	2.264.522.409	2.000.566.229	-263.956.179	-11,66%
147710	CATEGORÍA B RIESGO ACEPTABLE	39.071.627	24.501.016	-14.570.611	-37,29%
147715	CATEGORÍA C RIESGO APRECIABLE	46.577.100	8.738.786	-37.838.314	-81,24%
147720	CATEGORÍA D RIESGO SIGNIFICATIVO	77.161.636	20.985.333	-56.176.303	-72,80%
147725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	298.242.751	216.151.678	-82.091.073	-27,52%
1478	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	5.055.174	3.916.224	-1.138.950	-22,53%
147805	CATEGORÍA A RIESGO NORMAL	40.677	355.301	314.625	773,48%
147815	CATEGORÍA C RIESGO APRECIABLE	81.353	0	-81.353	-100,00%
147820	CATEGORÍA D RIESGO SIGNIFICATIVO	122.030	20.904	-101.126	-82,87%
147825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	4.811.115	3.540.019	-1.271.096	-26,42%
1479	DETERIORO CRÉDITOS PRODUCTIVOS	-1.730.341.341	-1.682.391.736	47.949.605	-2,77%
147905	CATEGORÍA A RIESGO NORMAL	-1.615.266.956	-571.940.406	1.043.326.550	-64,59%
147910	CATEGORÍA B RIESGO ACEPTABLE	-22.144.886	-18.551.168	3.593.718	-16,23%
147915	CATEGORÍA C RIESGO APRECIABLE	-18.658.982	-16.912.421	1.746.561	-9,36%
147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-38.681.868	-35.768.625	2.913.243	-7,53%
147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-35.588.649	-1.039.219.116	-1.003.630.467	2820,09%
1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	-440.896.837	-193.694.032	247.202.805	-56,07%
148005	CATEGORÍA A RIESGO NORMAL	0	-22.600.066	-22.600.066	100,00%
148010	CATEGORÍA B RIESGO ACEPTABLE	0	-1.981.399	-1.981.399	100,00%
148015	CATEGORÍA C RIESGO APRECIABLE	-63.780.902	-1.379.403	62.401.499	-97,84%
148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-78.873.184	-4.806.638	74.066.546	-93,91%
148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-298.242.751	-162.926.526	135.316.225	-45,37%
1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-5.014.498	-2.989.819	2.024.679	-40,38%
148115	CATEGORÍA C RIESGO APRECIABLE	-81.353	0	81.353	-100,00%
148120	CATEGORÍA D RIESGO SIGNIFICATIVO	-122.030	-9.844	112.186	-91,93%
148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-4.811.115	-2.979.975	1.831.140	-38,06%
16	CUENTAS POR COBRAR Y OTRAS	943.554.237	763.385.933	-180.168.304	-19,09%
1630	AVANCES Y ANTICIPOS ENTREGADOS	268.817.383	6.420.056	-262.397.327	-97,61%
163010	LABORALES	71.651.717	921.956	-70.729.761	-98,71%
163020	GASTOS DE VIAJE	5.638.269	3.103.800	-2.534.469	-44,95%
163095	OTROS	191.527.396	2.394.300	-189.133.096	-98,75%
1640	ACTIVOS POR IMPUESTOS CORRIENTES	77.093.967	103.177.181	26.083.214	33,83%
164010	RETENCIÓN EN LA FUENTE	62.382.197	89.398.483	27.016.286	43,31%
164015	IMPUESTO A LAS VENTAS RETENIDO	1.794.536	197.768	-1.596.768	-88,98%
164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	12.917.234	13.580.930	663.696	5,14%
1650	DEUDORES PATRONALES Y EMPRESAS	-30.125.831	0	30.125.831	-100,00%
165005	DESCUENTO DE NOMINA	-30.125.831	0	30.125.831	-100,00%
1655	RESPONSABILIDADES PENDIENTES	54.121.764	297.667	-53.824.097	-99,45%
165510	EMPLEADOS	54.121.764	297.667	-53.824.097	-99,45%
1660	OTRAS CUENTAS POR COBRAR	573.646.954	653.491.029	79.844.075	13,92%
