Código	Denominación	[A]	[B]	[B] VS [A]	
		jul-2025 Proyectado	jul-2025 Histórico	jul-2025 Histórico	
				VS	
				jul-2025 Proyectado	
		Monto	Monto	Monto	%
147910	CATEGORÍA B RIESGO ACEPTABLE	-60.337.157	-27.698.086	32.639.071	-54,09%
147915	CATEGORÍA C RIESGO APRECIABLE	-56.305.415	-24.014.151	32.291.264	-57,35%
147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-125.287.023	-12.729.512	112.557.511	-89,84%
147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-916.367.482	-1.185.816.661	-269.449.179	29,40%
1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	-63.584.531.884	-198.661.168	63.385.870.716	-99,69%
148005	CATEGORÍA A RIESGO NORMAL	0	-27.503.225	-27.503.225	100,00%
148010	CATEGORÍA B RIESGO ACEPTABLE	0	-1.806.059	-1.806.059	100,00%
148015	CATEGORÍA C RIESGO APRECIABLE	-669.760.921	-2.067.536	667.693.385	-99,69%
148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-16.391.193.203	-940.282	16.390.252.921	-99,99%
148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-46.523.577.760	-166.344.066	46.357.233.694	-99,64%
1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-2.383.652.734	-6.875.354	2.376.777.380	-99,71%
148115	CATEGORÍA C RIESGO APRECIABLE	-5.206.592	-2.452	5.204.140	-99,95%
148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-2.378.446.142	-6.872.902	2.371.573.240	-99,71%
16	CUENTAS POR COBRAR Y OTRAS	4.009.161.933	808.643.665	-3.200.518.268	-79,83%
1630	AVANCES Y ANTICIPOS ENTREGADOS	5.426.382.801	74.876.450	-5.351.506.351	-98,62%
163010	LABORALES	4.585.709.884	0	-4.585.709.884	-100,00%
163020	GASTOS DE VIAJE	4.726.407	3.993.600	-732.807	-15,50%
163095	OTROS	835.946.510	70.882.850	-765.063.660	-91,52%
1640	ACTIVOS POR IMPUESTOS CORRIENTES	44.595.598	92.265.705	47.670.107	106,89%
164010	RETENCIÓN EN LA FUENTE	24.985.867	74.463.347	49.477.480	198,02%
164015	IMPUESTO A LAS VENTAS RETENIDO	6.904.721	1.208.970	-5.695.751	-82,49%
164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	12.705.010	16.593.388	3.888.378	30,61%
1650	DEUDORES PATRONALES Y EMPRESAS	-1.928.053.185	0	1.928.053.185	-100,00%
165005	DESCUENTO DE NOMINA	-1.928.053.185	0	1.928.053.185	-100,00%
1655	RESPONSABILIDADES PENDIENTES	2.499.806	50.077	-2.449.729	-98,00%
165510	EMPLEADOS	2.499.806	50.077	-2.449.729	-98,00%
1660	OTRAS CUENTAS POR COBRAR	463.736.913	641.451.433	177.714.520	38,32%
166035	CUENTAS POR COBRAR DE TERCEROS	458.021.541	537.373.975	79.352.434	17,33%
166050	OTROS	29.940.229	132.888.460	102.948.231	343,85%
166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-24.224.858	-28.811.002	-4.586.144	18,93%
17	ACTIVOS MATERIALES	10.738.484.487	10.334.724.420	-403.760.067	-3,76%
1705	PROPIEDADES PLANTA Y EQUIPO	10.671.493.481	10.268.149.420	-403.344.061	-3,78%
