					
Código	Denominación	[A]	[B]	[B] VS [A]	
		feb-2025 Proyectado	feb-2025 Histórico	feb-2025 Histórico	
				VS	
				feb-2025 Proyectado	
		Monto	Monto	Monto	%
144110	CATEGORÍA B RIESGO ACEPTABLE	244.420.561	15.917.982	-228.502.579	-93,49%
144115	CATEGORÍA C RIESGO APRECIABLE	39.649.544	0	-39.649.544	-100,00%
144120	CATEGORÍA D RIESGO SIGNIFICATIVO	103.867.390	0	-103.867.390	-100,00%
144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	211.426.314	8.098.639	-203.327.675	-96,17%
1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	48.761.233.915	47.207.510.385	-1.553.723.530	-3,19%
144205	CATEGORÍA A RIESGO NORMAL	45.708.780.672	41.786.060.882	-3.922.719.790	-8,58%
144210	CATEGORÍA B RIESGO ACEPTABLE	822.636.149	1.011.149.097	188.512.948	22,92%
144215	CATEGORÍA C RIESGO APRECIABLE	282.005.617	559.990.399	277.984.782	98,57%
144220	CATEGORÍA D RIESGO SIGNIFICATIVO	663.129.784	496.629.181	-166.500.603	-25,11%
144225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.284.681.693	3.353.680.826	2.068.999.133	161,05%
1443	INTERESES CRÉDITOS DE CONSUMO	1.197.437.432	1.120.773.034	-76.664.398	-6,40%
144305	CATEGORÍA A RIESGO NORMAL	832.021.254	753.939.058	-78.082.195	-9,38%
144310	CATEGORÍA B RIESGO ACEPTABLE	31.078.438	41.465.359	10.386.921	33,42%
144315	CATEGORÍA C RIESGO APRECIABLE	18.066.848	25.324.510	7.257.662	40,17%
144320	CATEGORÍA D RIESGO SIGNIFICATIVO	43.169.606	30.327.194	-12.842.412	-29,75%
144325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	243.305.043	244.674.041	1.368.998	0,56%
144330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	29.796.243	25.042.872	-4.753.371	-15,95%
1444	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS CONSUMO	28.201.443	27.101.612	-1.099.831	-3,90%
144405	CATEGORÍA A RIESGO NORMAL	162.706	20.900	-141.806	-87,15%
144410	CATEGORÍA B RIESGO ACEPTABLE	81.353	118.801	37.448	46,03%
144415	CATEGORÍA C RIESGO APRECIABLE	162.706	20.901	-141.805	-87,15%
144420	CATEGORÍA D RIESGO SIGNIFICATIVO	1.750.452	244.505	-1.505.947	-86,03%
144425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	24.697.249	25.406.701	709.452	2,87%
144430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	1.346.978	1.289.804	-57.174	-4,24%
1445	DETERIORO CRÉDITOS DE CONSUMO (CR)	-37.751.315.624	-3.298.277.483	34.453.038.141	-91,26%
144510	CATEGORÍA A RIESGO NORMAL	0	-295.250.759	-295.250.759	100,00%
144520	CATEGORÍA B RIESGO ACEPTABLE	-176.098.284	-36.365.473	139.732.811	-79,35%
144530	CATEGORÍA C RIESGO APRECIABLE	-989.266.672	-50.532.294	938.734.378	-94,89%
144540	CATEGORÍA D RIESGO SIGNIFICATIVO	-3.809.285.810	-269.682.594	3.539.603.216	-92,92%
144550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-32.776.664.858	-2.646.446.363	30.130.218.495	-91,93%
1446	DETERIORO INTERESES CRÉDITOS DE CONSUMO (CR)	-334.246.308	-247.105.893	87.140.415	-26,07%
144605	CATEGORÍA A RIESGO NORMAL	0	-4.002.315	-4.002.315	100,00%
144610	CATEGORÍA B RIESGO ACEPTABLE	0	-1.502.266	-1.502.266	100,00%
144615	CATEGORÍA C RIESGO APRECIABLE	-18.066.848	-2.146.134	15.920.714	-88,12%
144620	CATEGORÍA D RIESGO SIGNIFICATIVO	-43.169.606	-16.952.003	26.217.603	-60,73%
144625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-243.373.390	-197.616.703	45.756.687	-18,80%
144630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-29.636.464	-24.886.472	4.749.992	-16,03%
1447	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-27.957.384	-22.962.668	4.994.716	-17,87%
144715	CATEGORÍA C RIESGO APRECIABLE	-162.706	-1.958	160.748	-98,80%
144720	CATEGORÍA D RIESGO SIGNIFICATIVO	-1.750.452	-140.659	1.609.793	-91,96%
144725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-24.697.249	-21.530.247	3.167.002	-12,82%
144730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-1.346.978	-1.289.804	57.174	-4,24%
1455	MICROCRÉDITO EMPRESARIAL	21.877.074.024	21.117.655.208	-759.418.816	-3,47%
145505	CATEGORÍA A RIESGO NORMAL	19.407.152.367	15.788.461.635	-3.618.690.732	-18,65%
145510	CATEGORÍA B RIESGO ACEPTABLE	618.715.375	540.948.684	-77.766.691	-12,57%
145515	CATEGORÍA C RIESGO APRECIABLE	382.866.294	428.752.216	45.885.922	11,98%
145520	CATEGORÍA D RIESGO SIGNIFICATIVO	249.473.551	273.805.335	24.331.784	9,75%
145525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.218.866.437	4.085.687.339	2.866.820.901	235,20%
