	Código	Denominación	[A]	[B]	[B] VS [A]	
			mar-2025 Proyectado	mar-2025 Histórico	mar-2025 Histórico	
					VS	
					mar-2025 Proyectado	
			Monto	Monto	Monto	%
	140930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-5.586.133	-2.368.010	3.218.123	-57,61%
	1410	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE VIVIENDA (CR)	-1.624.951	-76.757	1.548.194	-95,28%
	141015	CATEGORÍA C RIESGO APRECIABLE	-325.412	0	325.412	-100,00%
	141025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-811.195	-76.757	734.438	-90,54%
	141030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-488.344	0	488.344	-100,00%
	1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	27.088.292.045	28.084.043.490	995.751.445	3,68%
	144105	CATEGORÍA A RIESGO NORMAL	26.589.867.471	28.068.895.568	1.479.028.097	5,56%
	144110	CATEGORÍA B RIESGO ACEPTABLE	220.752.244	15.147.922	-205.604.322	-93,14%
	144115	CATEGORÍA C RIESGO APRECIABLE	50.812.010	0	-50.812.010	-100,00%
	144120	CATEGORÍA D RIESGO SIGNIFICATIVO	73.526.685	0	-73.526.685	-100,00%
	144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	153.333.635	0	-153.333.635	-100,00%
	1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	50.032.633.915	47.959.191.936	-2.073.441.979	-4,14%
	144205	CATEGORÍA A RIESGO NORMAL	46.305.202.689	42.612.302.711	-3.692.899.978	-7,98%
	144210	CATEGORÍA B RIESGO ACEPTABLE	855.818.210	802.223.326	-53.594.884	-6,26%
	144215	CATEGORÍA C RIESGO APRECIABLE	408.515.640	609.806.367	201.290.727	49,27%
	144220	CATEGORÍA D RIESGO SIGNIFICATIVO	550.485.490	517.418.239	-33.067.251	-6,01%
	144225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.912.611.887	3.417.441.293	1.504.829.406	78,68%
	1443	INTERESES CRÉDITOS DE CONSUMO	1.257.826.440	1.111.664.430	-146.162.009	-11,62%
	144305	CATEGORÍA A RIESGO NORMAL	853.903.413	749.121.618	-104.781.794	-12,27%
	144310	CATEGORÍA B RIESGO ACEPTABLE	32.405.487	33.399.730	994.243	3,07%
	144315	CATEGORÍA C RIESGO APRECIABLE	21.396.569	26.819.878	5.423.309	25,35%
	144320	CATEGORÍA D RIESGO SIGNIFICATIVO	35.731.483	30.432.981	-5.298.502	-14,83%
	144325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	278.097.665	247.511.870	-30.585.795	-11,00%
	144330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	36.291.824	24.378.353	-11.913.471	-32,83%
	1444	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS CONSUMO	31.757.935	26.775.507	-4.982.428	-15,69%
	144405	CATEGORÍA A RIESGO NORMAL	325.412	20.895	-304.517	-93,58%
	144410	CATEGORÍA B RIESGO ACEPTABLE	162.706	0	-162.706	-100,00%
	144415	CATEGORÍA C RIESGO APRECIABLE	325.412	284.707	-40.705	-12,51%
	144420	CATEGORÍA D RIESGO SIGNIFICATIVO	3.500.904	376.903	-3.124.001	-89,23%
	144425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	25.848.140	26.093.002	244.862	0,95%
	144430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	1.595.361	0	-1.595.361	-100,00%
	1445	DETERIORO CRÉDITOS DE CONSUMO (CR)	-28.002.092.909	-3.369.419.837	24.632.673.072	-87,97%
	144510	CATEGORÍA A RIESGO NORMAL	-8.983.611	-300.975.118	-291.991.507	3250,27%
	144520	CATEGORÍA B RIESGO ACEPTABLE	-122.781.738	-30.460.787	92.320.951	-75,19%
